abs,adaptive_cruise_control,age_when_licensed,airbags,anti_theft_dsc_ind,assignedlossespd3yrs_cg,auto_parking,blind_spot,body_style_transition,brake_assist,camera,cargo_length,class_curr,co2_emissions,convertible_indicator,convictioncountmajor3yrs_cg,convictioncountminor3yrs_cg,convictioncriminal3yrs,credit_consent,credit_score,credit_score_avg,cross_traffic,curb_weight,datasource,deductible_amount_m,diploma_above_bachelor,diploma_bachelor,diploma_college,diploma_high_school,diploma_no,diploma_trades,diploma_univ_certificate,drive_train,driver_count,driver_monitor,driverage_m,drv_training_ind,engine_availability,engine_configuration,engine_cylinder,engine_displacement,engine_forced_induction,engine_fuel,engine_supplemental,er_enrolledind_cg,exposure,fsa_m,fuel_cons_city_l_per_100k,fuel_cons_comb_l_per_100k,fuel_cons_comb_mpg,fuel_cons_hwy_l_per_100k,fuel_cons_model_sim_score,full_cov_ind,garagedpostalcode_cg,gender,grad_lic_dsc_ind,headlight,hill_start,homeowner_flag,homeowner_ratio,horsepower,household_income,hybrid_veh_dsc_ind,lane_assist,large_city_ind,limit_amount_m,marital_status,mitigation_all_speed,mitigation_low_speed,mover_ratio,multi_prod_dsc_ind,multi_veh_dsc_ind,nsf_flag,occupation_arts,occupation_business,occupation_edu_gov,occupation_health,occupation_management,occupation_other,occupation_science,occupation_service,occupation_trades,oo_ind,perimeter_detection,pol_op_cnt,pol_veh_cnt,preferredclientrating_cg,price,programmable_key,region_curr,retiree_dsc_ind,rolling_year_m,size_code,stability_control,suspensioncount_cg,tenant_flag,terr_curr,theft_deterrent_system,timelicensed_cg,traction_control,traffic_jam_assist,unemployed_rate,urban_rural_curr,use,veh_acq_type,veh_age_when_pur,veh_gtr_op_dsc_ind,veh_own_yrs,vehicleage_m,vehiclecode_cg_4,vrg_actual,wheelbase,yearsclaimsfree_m,incurred_loss_m,claim_count_new
4,0,19,4,N,0,0,0,4P,0,0,0,32,321,0,0,0,0,"",799,734.013301,0,1438,PMSC,0,0.0497234354,0.1638367421,0.2976821558,0.3869802934,0.1594507702,0.0575974918,0.0188329483,1,1,0,56,N,STD,V,6,4000,"",G,0,0,"10,001 to 20,000 kms",N2E,15.6,13.95,20,11.9,730,1,N2E2K2,Male,N,0,0,0,0.203539823,207,63113.41,N,0,Yes,1000000,Single,0,0,0.6749585406,N,N,0,0.002853069,0.1209933113,0.0893451003,0.061693569,0.0738888421,0.2153393258,0.0769610411,0.3273967347,0.1274449466,0,0,1,1,0,22577,0,COR,N,2014,L,0,0,0,32,EG1,37,0,0,6,U,WA,Purchased New,0,N,6,6,3650,,3193,37,1651.36,1
4,0,16,4,N,0,0,0,1P,0,0,0,30,370,0,0,0,0,Y,633,760.558914,0,2231,PC,,0.0485689497,0.115100165,0.311132305,0.3743487209,0.1705079219,0.0836839687,0.0275570145,2,1,0,39,N,STD,V,8,5300,"",G,0,0,"20,001 to 30,000 kms",K0G,17.95,16.1,17.5,13.9,1330,0,K0G1E0,Male,N,0,0,0,0.8158436214,310,84227.19,N,0,No,1000000,Married,0,0,0.2766439909,N,Y,1,0.0266682471,0.1215731036,0.0850993305,0.1112256351,0.1171253572,0.0694629067,0.0751206305,0.2247896422,0.2498117984,0,0,2,2,0,49760,0,NEW,N,2017,L,0,0,0,91,E,23,0,0,7.4,R,P,Purchased Used,3,N,8,11,6740,,4000,23,17814.78,1
4,0,25,5,N,0,0,0,4D,2,0,0,301,239,0,0,0,0,Y,453,724.056555,0,1584,PMSC,0,0.0460162373,0.1886910051,0.2378007091,0.3476455372,0.2411620568,0.0571584138,0.0079681696,1,1,0,41,N,STD,V,6,3300,"",G,0,0,"10,001 to 20,000 kms",L6C,12.2,10.4,27,8.2,630,1,L6C1R6,Female,Y,0,0,0,0.1382978723,249,55932.06,N,0,Yes,1000000,Single,0,0,0.3283261803,Y,N,1,0.0277026025,0.1035406789,0.1532403475,0.1405819506,0.1035406789,0.022100347,0.0561945583,0.3732042459,0.1218898176,0,0,1,1,0,34649,0,COR,N,2014,L,2,0,0,74,CEG1,16,2,0,24.3,U,WA,Purchased New,0,N,4,4,0525,,2730,16,40000,1
4,0,18,5,N,0,0,0,4D,2,0,0,32,239,0,0,0,0,Y,3000,765.851852,0,1460,PC,,0.0116960398,0.0976384696,0.3768098523,0.5031035777,0.0976384696,0.0848994438,0.0116960398,1,1,0,58,N,STD,L,5,2500,"",G,0,0,"20,001 to 30,000 kms",L4P,12.1,10.4,27,8.25,300,1,L4P3P4,Female,N,0,0,0,0.9333333333,170,196017.44,N,0,No,1000000,Married,0,0,0.2291666667,Y,Y,0,0.0294138852,0.1565690607,0.1069721196,0.0294138852,0.1565690607,0.0752234212,0.0444517626,0.3022808719,0.1910552368,0,0,2,2,0,29919,0,NEW,N,2016,M,2,0,0,86,CEG1,40,2,0,8.6,R,WC,Purchased New,0,N,15,8,9088,,2578,40,1247575.16,1
4,0,25,5,N,0,0,0,4D,2,0,0,28,216.5,0,0,0,0,N,2000,744.794643,0,1500,PC,,0.0477544313,0.1387262095,0.1812858239,0.2928768893,0.3798882663,0.0423343638,0.0477544313,1,1,0,26,N,STD,L,4,2400,"",G,0,0,"10,001 to 20,000 kms",M1R,10.95,9.4,30,7.5,320,1,M1R1T3,Male,Y,0,0,0,0,158,41484.76,N,0,No,1000000,Single,0,0,0.6666666667,Y,N,0,0.0130720816,0.0953101798,0.2006706955,0.0397403286,0.0130720816,0.0533459807,0.0263173083,0.6061358036,0.1391128025,0,0,1,1,0,32366,0,COR,N,2016,L,0,0,1,77,EG,1,0,0,27.1,U,WB,Purchased Used,8,N,0,8,0450,,2775,1,68846.52,1
3,0,17,4,N,0,0,0,4D,0,0,0,28,206,0,0,3,0,Y,579,721.137255,0,1239,PMSC,0,-17.67560029,-17.55874508,-17.46901643,-17.41132076,-17.56526365,-17.6821996,-17.73135712,1,1,0,27,N,STD,L,4,2000,"",G,0,0,"10,001 to 20,000 kms",L3T,10.1,8.95,31.5,7.5,220,1,L3T1R8,Female,N,0,0,0,,148,0,N,0,No,2000000,Single,0,0,,Y,Y,1,-18.66255591,-18.23157351,-18.26766447,-18.41775875,-18.35713045,-19.05774981,-18.5279185,-18.36884556,-18.25869283,0,0,1,1,0,18934,0,COR,N,2014,M,0,0,0,74,E,10,2,0,0,U,WA,Purchased Used,8,N,2,10,7724,,2640,8,85399.95,1
4,0,30,4,N,0,0,0,SP,0,0,0,32,352,0,0,0,0,"",696,765.772,0,1874,PMSC,0,0.1466034742,0.1400460736,0.2952866718,0.2952866718,0.2006706955,0.0405852801,0,2,1,0,50,N,STD,V,6,3300,"",G,0,0,"0 to 10,000 Km",L4N,16.6,15.3,18.5,13.75,510,0,L4N3A5,Male,N,0,0,0,0.625,170,101613.57,N,0,Yes,2000000,Single,0,0,0.5586592179,Y,Y,0,0.0741079722,0.1376213779,0.1376213779,0.121360857,0.0588405,0.0438026227,0.0741079722,0.3983476403,0.0588405,0,0,1,1,1,35308,0,NEW,N,2014,M,0,0,0,86,D,20,0,0,5.3,R,WA,Purchased Used,10,N,3,13,0947,,2649,20,76281.33,1
4,0,16,5,N,0,0,0,4D,1,0,0,32,202.5,0,0,0,0,Y,786,773.583333,0,1325,PMSC,0,0.0526437335,0.1670540847,0.2962658161,0.4855078158,0.1372011215,0.0259754864,0,1,1,0,54,N,STD,L,4,1800,"",G,0,0,"10,001 to 20,000 kms",L1R,9.75,8.8,32,7.6,270,1,L1R2J5,Female,N,0,0,1,0.9,140,208822.07,N,0,No,1000000,Married,0,0,0.2727272727,Y,Y,0,0,0.2384110234,0.2384110234,0.062520357,0.0953101798,0.0307716587,0.0307716587,0.2384110234,0.1643030513,0,0,2,2,1,18974,0,COR,N,2015,M,1,0,0,65,EG1,38,1,0,0,U,WB,Purchased New,0,N,7,7,7770,,2614,38,1570.11,1
4,0,29,5,N,0,0,0,4D,2,2,0,32,175,0,0,0,0,N,2000,754.5,0,1159,PC,,0.2336148512,0.2336148512,0.2336148512,0.1335313926,0.1823215568,0.0425596144,0.0425596144,1,1,0,58,N,STD,L,4,1600,"",G,0,0,"10,001 to 20,000 kms",K1Y,8.6,7.6,37,6.45,570,1,K1Y2J2,Male,N,0,2,0,0.5454545455,119,75810.78,N,0,No,2000000,Single,0,0,0.4285714286,N,N,0,0.0689928715,0.2231435513,0.1431008436,0.0689928715,0.1431008436,0,0.0689928715,0.3101549283,0.0689928715,0,2,1,1,0,20841,2,NEW,N,2018,M,2,0,0,54,CEG1,29,2,0,0,U,P,Leased Used,3,N,0,3,3794,,2489,29,50001,1
4,1,24,5,N,1,1,2,SP,2,5,0,28,293,0,0,0,0,Y,768,764.867925,2,1989,PC,,0.0631789016,0.3364722366,0.202940844,0.2542341384,0.1541506798,0.0416726964,0.0631789016,2,1,0,30,N,STD,V,6,3700,T,G,0,0,"10,001 to 20,000 kms",M1V,14.3,12.5,23,10.3,770,1,M1V2C4,Female,N,2,2,0,0.8666666667,335,100055.81,N,3,No,1000000,Married,3,0,0.3018867925,Y,N,0,0.0512932944,0.2231435513,0.1053605157,0.1053605157,0.1053605157,0.1053605157,0.0512932944,0.2231435513,0.1053605157,0,3,1,1,0,55545,2,COR,N,2019,L,2,0,0,78,CEG1,6,2,0,4.8,U,WA,Leased New,0,N,1,0,4146,,2849,0,25059.95,1
0,0,21,5,N,0,0,0,4D,0,0,0,28,205.5,0,0,0,0,Y,796,727.769231,0,1068,PMSC,0,0.1278333715,0.1278333715,0.1278333715,0.3856624808,0.2744368457,0.0833816089,0,1,1,0,26,Y,STD,L,4,1600,"",G,0,0,"0 to 10,000 Km",K1G,10.3,8.95,31.5,7.3,220,0,K1G2S3,Female,N,0,0,1,0.9166666667,103,70579.22,N,0,No,2000000,Single,0,0,0.2692307692,Y,Y,0,0,0.3364722366,0.0741079722,0.1541506798,0,0,0.0741079722,0.2411620568,0.2411620568,0,0,2,2,0,17538,0,NEW,N,2014,M,0,0,0,13,C,5,0,0,5.3,U,WA,Purchased Used,2,N,4,6,1098,,2480,5,1542.25,1
4,0,19,5,N,0,0,0,4D,2,1,0,34,206,0,0,0,0,Y,814,765.253521,0,1530,PMSC,0,0.1069721196,0.263814591,0.245122458,0.3422862065,0.1397619424,0.0294138852,0,1,1,0,91,N,STD,L,4,2500,"",G,0,0,"0 to 10,000 Km",K9K,10.45,8.95,31.5,7.15,320,1,K9K2G6,Male,N,0,0,0,0.8,178,174650.08,N,0,No,1000000,Married,0,0,0.3636363636,Y,N,0,0.1206279878,0.1466034742,0.1732717213,0.1732717213,0.0953101798,0,0.0706175672,0.2578291093,0.0465200156,0,0,1,1,1,32797,0,NEW,Y,2014,L,2,0,0,89,EG,72,2,0,6.8,R,P,Purchased New,0,N,3,3,0450,,2775,72,1539.55,1
4,0,16,4,N,0,0,0,SP,2,0,0,29,276,0,0,0,0,Y,842,749.823529,0,1660,PMSC,0,0.1053605157,0.1625189295,0.2231435513,0.2876820725,0.2231435513,0.1053605157,0,1,1,0,35,N,STD,V,6,3400,"",G,0,0,"10,001 to 20,000 kms",N3B,13.7,12,24,9.8,580,1,N3B1W7,Female,N,0,0,1,0.6666666667,185,90084.25,N,0,No,2000000,Married,0,0,0.347826087,Y,Y,0,0.1053605157,0.2231435513,0.1053605157,0.1053605157,0.1053605157,0,0,0.2231435513,0.2231435513,0,0,2,2,0,31228,0,COR,N,2015,L,2,0,0,38,CEG1,19,2,0,10,R,P,Purchased Used,4,N,4,8,6395,,2855,19,3113.69,1
3,0,18,4,N,0,0,0,2D,0,0,0,32,215.5,0,0,0,0,"",3000,740.471028,0,1108,PC,,0.220322675,0.3319626461,0.220322675,0.202870225,0.0641619442,0.031566466,0.0462510177,1,1,0,57,N,STD,L,4,1800,"",G,0,0,"0 to 10,000 Km",M4S,10.58,9.38,30.25,7.95,680,1,M4S1C3,Male,N,0,0,0,0.0452830189,140,71232.54,N,0,Yes,2000000,Single,0,0,0.6005291005,N,N,0,0.0616211341,0.2321481144,0.1641607734,0.0241947286,0.1455555856,0.0160646025,0.1409578763,0.2679575671,0.0406560056,0,0,1,1,1,28614,0,COR,N,2018,M,0,0,0,72,"",39,0,0,12.5,U,WA,Purchased Used,2,N,14,16,0548,,2600,39,1615.14,1
4,0,18,4,N,0,0,0,LP,0,0,0,31,,0,0,0,0,Y,592,715.4375,0,1900,PC,,0,0.0953101798,0.3184537311,0.4519851237,0.2006706955,0.0953101798,0,2,1,0,44,N,STD,V,6,4000,"",G,0,0,"10,001 to 20,000 kms",L2A,,,,,4000,0,L2A2T4,Female,N,0,0,0,0.5,160,40536.4,N,0,No,1000000,Married,0,0,0.5454545455,Y,N,0,0,0.2231435513,0.2231435513,0,0,0,0,0.5108256238,0.2231435513,0,0,1,1,1,37659,0,COR,N,2019,L,0,0,1,87,CEG1,26,0,0,0,U,WA,Purchased Used,17,N,2,19,3659,,2832,26,1515.69,1
4,0,18,5,N,0,0,0,4D,0,0,0,32,216.5,0,0,0,0,Y,726,741.241935,0,1549,PMSC,0,0.0953101798,0.1678808726,0.3829922523,0.2461330695,0.1257693873,0.0755075525,0.0276515313,1,1,0,54,N,STD,L,4,2400,"",G,0,0,"0 to 10,000 Km",L7T,10.95,9.4,30,7.55,270,1,L7T2C8,Male,N,0,0,0,0.3928571429,169,66230.33,N,0,No,1000000,Married,0,0,0.5491803279,Y,Y,0,0.0666913745,0.2151113796,0.1017826943,0.0666913745,0.0666913745,0.0666913745,0.0840831172,0.3204718953,0.1017826943,0,0,2,2,0,24604,0,COR,N,2015,L,0,0,1,69,CEG1,36,2,0,8.1,U,P,Purchased Used,7,N,0,7,5397,,2852,36,1552.36,1
4,0,16,5,N,0,0,0,4D,2,2,0,29,175,0,0,0,0,Y,813,750.659091,0,1159,PC,,0,0.1278333715,0.2231435513,0.3856624808,0.2231435513,0.1743533871,0,1,1,0,33,N,STD,L,4,1600,"",G,0,0,"10,001 to 20,000 kms",L9C,8.6,7.6,37,6.45,570,1,L9C1X8,Female,N,0,2,1,0.3333333333,119,44600.7,N,0,No,2000000,Married,0,0,0.4074074074,Y,Y,0,0,0.1177830357,0.1177830357,0.1177830357,0.1177830357,0.1177830357,0,0.4054651081,0.1177830357,0,2,3,3,0,20841,2,COR,N,2018,M,2,0,0,79,CEG1,17,2,0,22.2,U,P,Purchased Used,1,N,1,2,3794,,2489,17,1572.97,1
4,0,21,5,N,0,0,0,4D,2,0,0,27,260,0,0,0,0,Y,440,700.433333,0,1755,PC,,0,0.1541506798,0.2054439742,0.3364722366,0.3166696093,0.121360857,0,1,1,0,24,N,STD,V,6,3200,"",G,0,0,"10,001 to 20,000 kms",L8R,13.3,11.3,25,8.9,160,0,L8R1E3,Female,N,2,0,0,0.25,270,101395.64,N,0,No,1000000,Single,0,0,0.4931506849,N,N,1,0,0.0215062052,0.0434851119,0,0,0.088947486,0.136575535,0.805625164,0.1865859556,0,0,1,1,0,46171,0,COR,N,2018,L,2,0,0,79,CEG1,3,2,0,2.1,U,WB,Purchased Used,12,N,1,13,0700,,2740,3,35700.35,1
4,0,32,5,N,0,0,0,4D,2,0,0,29,180.5,0,0,0,0,Y,765,,0,1235,PMSC,0,0.1708177323,0.4075333612,0.1683697507,0.2236602137,0.0817659547,0.0422003545,0.0336166108,1,1,0,34,Y,STD,L,4,1800,"",G,0,0,"0 to 10,000 Km",L3T,8.75,7.85,36,6.75,270,1,L3T0C5,Female,Y,0,0,0,0.4239130435,132,63676.21,N,0,No,1000000,Single,0,0,0.8571428571,Y,N,0,0.0656539702,0.1870148272,0.1207137474,0.0409613576,0.1020216144,0.0409613576,0.1207137474,0.3485854399,0.0692317916,0,0,1,1,0,16443,0,COR,N,2015,M,2,0,0,74,EG,2,2,0,6.8,U,P,Purchased Used,4,N,1,5,0445,,2600,2,32281.66,1
4,0,35,5,N,0,0,0,SP,2,2,0,31,216,0,0,0,0,Y,816,734.005222,0,1540,PC,,0.1661268709,0.2455004584,0.1701510212,0.3654597735,0.1384023229,0.0275879565,0.0102565002,2,1,0,45,N,STD,L,4,2400,"",G,0,0,"10,001 to 20,000 kms",M1L,10.3,9.4,30,8.3,430,1,M1L4W4,Female,N,0,2,0,0.8702702703,168,109491.83,N,0,No,2000000,Single,0,0,0.3164179104,N,N,0,0.0645385211,0.2699824954,0.1335313926,0.0597879184,0.1284423231,0.022574322,0.0645385211,0.2468600779,0.0984400728,0,1,1,1,0,29398,0,COR,N,2018,M,2,0,0,77,CEG,10,2,0,10.9,U,P,Purchased Used,6,N,0,6,7931,,2670,10,1535.21,1
4,0,16,5,N,0,0,0,SV,0,0,0,31,267,0,0,0,0,"",717,755.718608,0,1757,PMSC,0,0.0259279432,0.0753363454,0.2696779058,0.3377980172,0.3090879113,0.1036556564,0.0145589469,1,1,0,45,N,STD,V,6,3400,"",G,0,0,"10,001 to 20,000 kms",N0G,13.5,11.6,24,9.3,0,0,N0G1L0,Male,N,0,0,0,0.7591925018,185,80198.31,N,0,No,1000000,Married,0,0,0.2772355579,N,Y,0,0.0200006667,0.1188257886,0.0921884291,0.0447597355,0.1264841471,0.155280378,0.0333805827,0.2503471303,0.2476733319,0,0,1,3,1,30982,0,NEW,N,2014,L,0,0,0,84,EG1,29,0,0,6,R,WA,Purchased Used,8,Y,1,9,6443,,2845,29,452635.32,1
4,0,26,5,N,0,0,0,4D,0,0,0,32,194.67,0,0,0,0,Y,747,749.523256,0,1251,PC,,0.011976191,0.1267517056,0.2564295289,0.5596157879,0.1267517056,0.0741079722,0.0240975516,1,1,0,49,N,STD,L,4,1800,"",G,0,0,"10,001 to 20,000 kms",L4N,9.4,8.47,33.33,7.4,410,1,L4N0V9,Female,N,0,0,1,0.972972973,122,110085.55,N,0,Yes,2000000,Married,0,0,0.28,Y,Y,0,0,0.1206279878,0.1206279878,0,0.1206279878,0,0.1466034742,0.4168938039,0.2006706955,0,0,2,2,1,19343,0,NEW,N,2018,M,0,0,0,86,EG1,23,0,0,2.3,R,WA,Purchased Used,3,N,8,11,1433,,2600,23,1536.26,1
